"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","wp-btn-label","he-lazy-image src","listingCard__owner-firm","he-lazy-image src 2"
"https://www.hepsiemlak.com/manisa-akhisar-ulu-camii-kiralik/daire/94123-2960","1 / 31","20.000","07/08/2026","Ulucami Mahallesi'nde Yerden Isıtmalı 2+1 Kiralık Daire","Kiralık Daire","2 + 1","100 m²","Sıfır Bina","3. Kat","Manisa / Akhisar / Ulu Camii Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/46068-7654","1 / 17","20.000","21/07/2026","Emlak Center'dan Muradiye Mah 2+1 Kiralık Ara Kat Daire","Kiralık Daire","2 + 1","90 m²","5 Yaşında","3. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Emlak Center","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-ataturk-kiralik/daire/86919-817","1 / 24","26.000","15/08/2026","Atatürk Mahallesi'nde 3+1 Bağımsız Otoparklı Sıfır Kiralık","Kiralık Daire","3 + 1","125 m²","Sıfır Bina","2. Kat","Manisa / Akhisar / Atatürk Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Mkm Yatırım Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-sehzadeler-sehitler-kiralik/daire/139321-787","1 / 15","17.000","01/09/2026","Şehitler Mah. 2+1 Kapalı Mutfak Zemin","Kiralık Daire","2 + 1","90 m²","26 Yaşında","Zemin","Manisa / Şehzadeler / Şehitler Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Okatan Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-uncubozkoy-kiralik/daire/167382-428","1 / 35","40.000","24/08/2026","Uncubozköy'de Cadde Üzeri Ara Kat Temiz 3+1 Süper Daire","Kiralık Daire","3 + 1","135 m²","21 Yaşında","3. Kat","Manisa / Yunusemre / Uncubozköy Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Lidya Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-ulu-camii-kiralik/daire/165672-165","1 / 18","17.250","29/08/2026","Ulucamii Mh. Safa Camii Yanı 2+1 100m² Kiralık Ön Cephe Daire","Kiralık Daire","2 + 1","100 m²","6 Yaşında","1. Kat","Manisa / Akhisar / Ulu Camii Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Mutlu Yatırım & Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-guzelyurt-kiralik/daire/161221-194","1 / 17","50.000","20/07/2026","Beyazkule Den Güzelyurt Da Site İçinde Havuzlu Kiralık Daire","Kiralık Daire","3 + 1","130 m²","11 Yaşında","1. Kat","Manisa / Yunusemre / Güzelyurt Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Beyaz Kule Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-turgutlu-selvilitepe-kiralik/daire/158463-329","1 / 12","33.000","01/09/2026","Turgutlu Life City'de Kiralık 3+1 Daire","Kiralık Daire","3 + 1","160 m²","5 Yaşında","15. Kat","Manisa / Turgutlu / Selvilitepe Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Startkey Star","https://www.hepsiemlak.com/img/loadings/noImage55-55.png"
"https://www.hepsiemlak.com/manisa-turgutlu-sehitler-kiralik/daire/160048-332","1 / 12","21.000","14/08/2026","Altay Mahalesi 2+1 Kiralık Daire","Kiralık Daire","2 + 1","110 m²","6 Yaşında","2. Kat","Manisa / Turgutlu / Şehitler Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Evin Burada Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-akhisar-hurriyet-kiralik/daire/115104-385","1 / 27","24.900","05/09/2026","Akhisar Gürbüz Emlak Tan Hürriyet Mahallesi Ssk.Hastahanesi Acil Karşısı 2.Kat Kiralık Daire","Kiralık Daire","3 + 1","132 m²","23 Yaşında","Ara Kat","Manisa / Akhisar / Hürriyet Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-turgutlu-ataturk-kiralik/mustakil-ev/107696-1770","1 / 28","22.000","05/08/2026","Eymen Emlaktan Atatürk Mh. Müstakil Kiralık Doğalgazlı Daire 🏡","Kiralık Müstakil Ev","4 + 1","130 m²","25 Yaşında","","Manisa / Turgutlu / Atatürk Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Eymen Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-yeni-mahalle-kiralik/daire/146843-111","1 / 15","19.000","28/07/2026","Manisa /yunusemre /yeni Mahallede Sıfır 1+1 Kiralık Ferah Daire","Kiralık Daire","1 + 1","55 m²","Sıfır Bina","Yüksek Giriş","Manisa / Yunusemre / Yeni Mahalle Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Nova Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/manisa-alasehir-sarisu-kiralik/daire/0-46885493","1 / 20","11.000","03/08/2026","Alaşehir Kiralık Daire 3+1 Sarısu Mahallesi","Kiralık Daire","3 + 1","110 m²","15 Yaşında","Kot 2","Manisa / Alaşehir / Sarısu Mah.","WhatsApp","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/manisa-turgutlu-yeni-kiralik/daire/141770-181","1 / 44","21.000","28/08/2026","Turgutlu Yeni Mahalle’de Kiralık Temiz Eşyalı Stüdyo Daire(19)","Kiralık Daire","1 + 1","45 m²","5 Yaşında","5. Kat","Manisa / Turgutlu / Yeni Mah.","WhatsApp","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/7/7/1/4/1/04d32387-118c-4827-b1b1-0146491c13c2.jpg","Rota Bostanlı Gayrimenkul",""
"https://www.hepsiemlak.com/manisa-yunusemre-muradiye-kiralik/daire/166335-14","1 / 22","30.000","27/07/2026","Muradiye Merkezli Daire","Kiralık Daire","2 + 1","105 m²","Sıfır Bina","3. Kat","Manisa / Yunusemre / Muradiye Mah.","WhatsApp","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","Vizyon Gayrimenkul 2",""
"https://www.hepsiemlak.com/manisa-yunusemre-laleli-kiralik/daire/0-46226466","1 / 18","23.000","05/09/2026","Çalışana, Bekara, Öğrenciye Uygun Eşyalı 3+1 Daire","Kiralık Daire","3 + 1","105 m²","35 Yaşında","5. Kat","Manisa / Yunusemre / Laleli Mah.","WhatsApp","","",""
