"listingCard__media-link href","listingCard__photo-index","listingCard__price","listingCard__date","listingCard__title","listingCard__spec-item","listingCard__spec-item 2","listingCard__spec-item 3","listingCard__spec-item 4","listingCard__spec-item 5","listingCard__location","he-lazy-image src"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dervis-pasa-kiralik/daire/0-46930066","1 / 8","13.000","23/07/2026","Sahibinden Eşyalı Kiralık 1+1 Daire","Kiralık Daire","1 + 1","55 m²","17 Yaşında","Bahçe Katı","Afyonkarahisar / Merkez / Derviş Paşa Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-yunus-emre-kiralik/daire/87840-3455","1 / 17","14.000","31/08/2026","Öztürk Emalk'tan Merkez Yunus Emre Mh'de Yalıtımlı Doğalgazlı Kiralık 2+1","Kiralık Daire","2 + 1","90 m²","22 Yaşında","En Üst Kat","Afyonkarahisar / Merkez / Yunus Emre Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/146381-327","1 / 15","18.000","01/09/2026","İdeal'den Çarşı Merkezde Manzaralı Eşyalı Kiralık 1+1 Daire","Kiralık Daire","1 + 1","65 m²","6 Yaşında","5. Kat","Afyonkarahisar / Merkez / Cumhuriyet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/146381-249","1 / 41","16.500","12/08/2026","Erenler'de İçi Full Lüks Yapılı , Sıfır Eşyalı Kiralık Daire","Kiralık Daire","2 + 0","58 m²","5 Yaşında","1. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-nazmi-saatci-kiralik/daire/143765-751","1 / 19","20.000","28/08/2026","Nokta Emlak Nazmi Saatçi Mh. 3+1 Kiralık Daire","Kiralık Daire","3 + 1","120 m²","11 Yaşında","3. Kat","Afyonkarahisar / Merkez / Nazmi Saatçi Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-kiralik/daire/134109-125","1 / 20","23.750","04/08/2026","03 Emlak( Ahmet Baştuğ'dan) Uydukent Fuul Eşyalı 2+1 Daire","Kiralık Daire","3 + 1","110 m²","10 Yaşında","1. Kat","Afyonkarahisar / Merkez / Selçuklu Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-ihsaniye-gazligol-cumhuriyet-kiralik/villa/0-46961638","1 / 19","2.500","17/07/2026","Gazlıgöl Termal Havuzlu, Tamamlıyor Triplex Villa","Kiralık Villa","3 + 1","250 m²","18 Yaşında","","Afyonkarahisar / İhsaniye / Gazlıgöl (Cumhuriyet) Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dumlupinar-kiralik/daire/0-37558444","1 / 21","15.000","13/07/2026","** Sevgi Yolunda (genpor Suit) Bayanlara Özel Suit Daireler","Kiralık Daire","2 + 0","45 m²","10 Yaşında","3. Kat","Afyonkarahisar / Merkez / Dumlupınar Mah.",""
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/170015-27","1 / 9","12.000","09/09/2026","Erenler Mah. Merkezi Konum Fırsat 2+0 Kiralık Daire","Kiralık Daire","2 + 0","55 m²","6 Yaşında","2. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/5/2/0/0/7/4/94051c8a-6446-45bd-aa2c-026bbc26a58c.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/146381-373","1 / 13","15.000","07/07/2026","İdeal'den Erenler'de 2+0 Eşyalı Kiralık Daire","Kiralık Daire","2 + 0","65 m²","6 Yaşında","4. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-kiralik/daire/153665-350","1 / 20","27.000","10/08/2026","Fatih Mahallesin De Lüks,Kapalı Oto Parklı Kiralık 3+1 Daire","Kiralık Daire","3 + 1","130 m²","4 Yaşında","2. Kat","Afyonkarahisar / Merkez / Fatih Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/165299-7","1 / 10","20.000","20/08/2026","Kalkan Gayrimenkul'den Yakıt Aidat İnternet Dahil 1+1 Daire","Kiralık Daire","1 + 1","60 m²","6 Yaşında","4. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-ali-ihsan-pasa-kiralik/daire/153665-343","1 / 27","30.000","18/08/2026","Afyon Merkez Alihsanpaşa Mahallesin De Lüks Kiralık Daireller","Kiralık Daire","3 + 1","140 m²","Sıfır Bina","1. Kat","Afyonkarahisar / Merkez / Ali İhsan Paşa Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/170015-52","1 / 8","18.000","09/09/2026","Merkezi Konum Yakıt-Aidat-İnternet Dahil Kiralık 1+1 Şık Daire","Kiralık Daire","1 + 1","45 m²","6 Yaşında","3. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/170015-40","1 / 7","13.000","09/09/2026","Erenler Mah. Midtown Karşısı 2+0 Lüks Kiralık Daire","Kiralık Daire","2 + 0","55 m²","6 Yaşında","2. Kat","Afyonkarahisar / Merkez / Erenler Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/87840-3464","1 / 16","17.000","06/08/2026","Öztürk Emlak'tan Dumlupınar Mh'de Afjetli Yakıt Dahil 2+1 Daire","Kiralık Daire","2 + 1","90 m²","20 Yaşında","2. Kat","Afyonkarahisar / Merkez / Cumhuriyet Mah.","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
